step,msd_global,n_round,n_elongated,density
3300,7207.560967905945,0.296875,499.703125,0.05
3400,7447.657180156398,0.578125,499.421875,0.05
3500,7663.386727919449,0.75,499.25,0.05
3600,7856.419356078892,0.796875,499.203125,0.05
3700,8042.494056365807,0.625,499.375,0.05
3800,8242.364258130398,0.765625,499.234375,0.05
3900,8455.617970936022,0.6875,499.3125,0.05
4000,8716.332102882869,0.421875,499.578125,0.05
4100,8978.915911265685,0.515625,499.484375,0.05
4200,9248.33766911124,0.515625,499.484375,0.05
4300,9486.377680586564,0.515625,499.484375,0.05
4400,9755.529725974064,0.484375,499.515625,0.05
4500,10014.745506135609,0.609375,499.390625,0.05
4600,10291.835791102649,0.6875,499.3125,0.05
4700,10602.519540750514,0.515625,499.484375,0.05
4800,10882.91911726482,0.828125,499.171875,0.05
4900,11183.286888739485,0.75,499.25,0.05
5000,11478.365691620691,0.65625,499.34375,0.05
5100,11775.251995683058,0.640625,499.359375,0.05
5200,12083.833499775426,0.6875,499.3125,0.05
5300,12363.776566969249,0.6875,499.3125,0.05
5400,12658.378052474038,0.640625,499.359375,0.05
5500,12966.515601940348,0.78125,499.21875,0.05
5600,13283.140042129107,0.78125,499.21875,0.05
5700,13596.986021787436,0.84375,499.15625,0.05
5800,13931.019486244686,0.953125,499.046875,0.05
5900,14229.430211695118,1.046875,498.953125,0.05
6000,14536.568675148852,0.890625,499.109375,0.05
6100,14856.631160990582,0.65625,499.34375,0.05
6200,15160.295956203398,0.859375,499.140625,0.05
6300,15448.490103842945,0.765625,499.234375,0.05
6400,15720.704150106953,0.671875,499.328125,0.05
6500,16041.017149086676,0.890625,499.109375,0.05
6600,16358.286510888436,0.921875,499.078125,0.05
6700,16688.598823088658,0.890625,499.109375,0.05
