N,seed,rho,f_elongated,f_binary,f_active,mean_aspect_ratio,s_max_norm,s_max_norm_2,n_clusters,state_label,state_name,state_id
2000,887691803963939,0.848,0.0007214285714285,0.0118142857142857,0.0125357142857142,1.0042235714285717,0.0254571428571428,0.9874428571428572,1.042857142857143,1,Jammed,1
2000,900740014674953,0.848,0.2538642857142858,0.1582571428571428,0.4121214285714286,1.5943678571428572,0.4634571428571428,0.4995714285714286,21.728571428571428,0,Unjammed,0
2000,903381734482463,0.848,0.0636142857142857,0.0906428571428571,0.1542571428571428,1.1727021428571431,0.8153214285714285,0.8328,11.314285714285717,0,Unjammed,0
2000,922817646891254,0.848,0.1928714285714286,0.1556499999999999,0.3485214285714285,1.4725978571428573,0.5566857142857143,0.5953214285714286,21.742857142857144,0,Unjammed,0
2000,926435018171726,0.848,0.1329357142857143,0.1156499999999999,0.2485857142857142,1.3256371428571432,0.7181928571428572,0.7336071428571429,15.042857142857144,0,Unjammed,0
2000,931910273456500,0.848,0.0538285714285714,0.0831,0.1369285714285714,1.1452599999999995,0.8299285714285715,0.8543,9.485714285714286,0,Unjammed,0
2000,945622526456000,0.848,0.1659642857142857,0.1223285714285713,0.288292857142857,1.392135,0.6748142857142857,0.6907857142857144,18.84285714285714,0,Unjammed,0
2000,959979233570859,0.848,0.0015285714285714,0.0230071428571428,0.0245357142857142,1.0078942857142854,0.0587357142857142,0.9753642857142858,1.2,1,Jammed,1
2000,962899970830917,0.848,0.1616714285714285,0.1428571428571428,0.3045285714285712,1.4018021428571432,0.6511857142857143,0.6711642857142857,17.67142857142857,0,Unjammed,0
2000,969719008256981,0.848,0.3165928571428571,0.1597571428571429,0.47635,1.7057335714285715,0.3816642857142857,0.3972928571428571,23.957142857142856,0,Unjammed,0
2000,971536625474344,0.848,0.1097428571428571,0.1097214285714286,0.2194642857142857,1.2724521428571427,0.7441142857142857,0.7610571428571429,15.2,0,Unjammed,0
2000,974443487743328,0.848,0.2036499999999999,0.1419714285714285,0.3456214285714284,1.4788792857142865,0.6001785714285715,0.6184357142857143,20.17142857142857,0,Unjammed,0
2000,985549376192247,0.848,0.2586214285714285,0.1449071428571428,0.4035285714285713,1.5890535714285716,0.4969785714285714,0.5171571428571429,21.742857142857144,0,Unjammed,0
2000,986893035328992,0.848,0.0,0.0315499999999999,0.0315499999999999,1.0091485714285713,0.3132142857142857,0.96845,1.0,1,Jammed,1
2000,993068073743470,0.848,0.0845285714285714,0.1005357142857142,0.1850642857142856,1.2195885714285717,0.78925,0.8031642857142857,11.514285714285714,0,Unjammed,0
2000,1008612444973162,0.848,0.1065142857142857,0.1085357142857142,0.2150499999999999,1.2668964285714284,0.751792857142857,0.7701142857142858,14.214285714285714,0,Unjammed,0
